Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,qt_sw,QoE,delay,jitter,loss
Z3,1,2,720,7080.0,0.703542,10063.365087,10064.0,1.0,2,38.040578,3824.862951,3824.862951,0.0,9904.0906016,300,0,0
Z3,2,2,720,7080.0,0.703545,10063.322176,10064.0,1.0,2,38.040578,3824.854368,3824.854368,0.0,9904.0476906,300,0,0
Z3,3,2,720,5664.0,0.70446,8040.201005,8040.0,1.0,2,38.040578,3420.230134,3420.230134,0.0,7880.9265196,300,0,0
Z3,4,2,720,7080.0,0.703548,10063.279265,10064.0,1.0,2,38.040578,3824.845786,3824.845786,0.0,9904.0047796,300,0,0
Z3,5,2,720,7080.0,0.70381,10059.533113,10064.0,1.0,2,38.040578,3824.096556,3824.096556,0.0,9900.2586276,300,0,0
Z3,6,2,720,5664.0,0.703543,8050.680626,8056.0,1.0,2,38.040578,3422.326058,3422.326058,0.0,7891.4061406,300,0,0
Z3,7,2,720,7080.0,0.703675,10061.463033,10064.0,1.0,2,38.040578,3824.48254,3824.48254,0.0,9902.1885476,300,0,0
Z3,8,2,720,7080.0,0.703685,10061.320051,10064.0,1.0,2,38.040578,3824.453943,3824.453943,0.0,9902.045565600001,300,0,0
Z3,9,2,720,12648.0,0.703815,17970.631487,17984.0,1.0,2,38.040578,5406.316231,5406.316231,0.0,17811.357001599998,300,0,0
Z3,10,2,720,17112.0,0.703835,24312.516428,24336.0,1.0,2,38.040578,6674.693219,6674.693219,0.0,24153.241942599998,300,0,0
Z3,11,2,720,15320.0,0.703781,21768.135258,21792.0,1.0,2,38.040578,6165.816985,6165.816985,0.0,21608.860772599997,300,0,0
Z3,12,2,720,10704.0,0.703673,15211.611075,15224.0,1.0,2,38.040578,4854.512148,4854.512148,0.0,15052.336589600001,300,0,0
Z3,13,2,720,18776.0,0.703812,26677.578672,26704.0,1.0,2,38.040578,7147.705668,7147.705668,0.0,26518.3041866,300,0,0
Z3,14,2,720,21848.0,0.703809,31042.512955,31072.0,1.0,2,38.040578,8020.692524,8020.692524,0.0,30883.238469599997,300,0,0
Z3,15,2,720,12752.0,0.703803,18118.706513,18136.0,1.0,2,38.040578,5435.931236,5435.931236,0.0,17959.4320276,300,0,0
Z3,16,2,720,21856.0,0.703684,31059.395979,31088.0,1.0,2,38.040578,8024.069129,8024.069129,0.0,30900.1214936,300,0,0
Z3,17,2,720,16880.0,0.7038,23984.086388,24008.0,1.0,2,38.040578,6609.007211,6609.007211,0.0,23824.8119026,300,0,0
Z3,18,2,720,9160.0,0.703045,13029.037971,13024.0,1.0,2,38.040578,4417.997527,4417.997527,0.0,12869.7634856,300,0,0
Z3,19,2,720,11592.0,0.703787,16470.892472,16488.0,1.0,2,38.040578,5106.368428,5106.368428,0.0,16311.6179866,300,0,0
Z3,20,2,720,9952.0,0.703801,14140.360699,14152.0,1.0,2,38.040578,4640.262073,4640.262073,0.0,13981.086213600001,300,0,0
Z3,21,2,720,11064.0,0.703679,15723.078279,15736.0,1.0,2,38.040578,4956.805589,4956.805589,0.0,15563.8037936,300,0,0
Z3,22,2,720,14728.0,0.703679,20929.997911,20944.0,1.0,2,38.040578,5998.189515,5998.189515,0.0,20770.723425599997,300,0,0
Z3,23,2,720,16264.0,0.703809,23108.542232,23128.0,1.0,2,38.040578,6433.89838,6433.89838,0.0,22949.2677466,300,0,0
Z3,24,2,720,9504.0,0.703804,13503.759569,13512.0,1.0,2,38.040578,4512.941847,4512.941847,0.0,13344.4850836,300,0,0
Z3,25,2,720,12688.0,0.70382,18027.336535,18048.0,1.0,2,38.040578,5417.65724,5417.65724,0.0,17868.062049599997,300,0,0
Z3,26,2,720,17320.0,0.703692,24613.040933,24632.0,1.0,2,38.040578,6734.79812,6734.79812,0.0,24453.7664476,300,0,0
Z3,27,2,720,9320.0,0.703087,13255.827515,13256.0,1.0,2,38.040578,4463.355436,4463.355436,0.0,13096.553029600002,300,0,0
Z3,28,2,720,6376.0,0.703567,9062.392068,9064.0,1.0,2,38.040578,3624.668347,3624.668347,0.0,8903.1175826,300,0,0
